id,title,image,category,author,authorPic,published_date,reading_time,content,tags/0,tags/1
3,Making wearable medical devices more patient-friendly with Professor Esther Rodriguez-Villegas from Acurable,https://techcrunch.com/wp-content/uploads/2022/05/found-2022-featured.jpg?w=430&h=230&crop=1,Health,Darrell Etherington,author1.jpg,2023-10-04,8 minutes,"Welcome back to Found, where we get the stories behind the startups. This week, our old friend Darrell Etherington joins Becca Szkutak to talk with Professor Esther Rodriguez-Villegas from Acurable...",Biotech,Health
4,"Rainforest raises $8.5M to help software companies embed financial services, payments",https://techcrunch.com/wp-content/uploads/2015/02/shutterstock_128451140.jpg?w=430&h=230&crop=1,Fintech,Mary Ann Azevedo,author1.jpg,2023-10-01,5 minutes,"In November 2019, Andreessen Horowitz General Partner Angela Strange famously declared that, “Every company will be a fintech company.” Specifically, Strange projected that — in the not-too-d...",Fintech,Writing
5,Pow.bio says biomanufacturing is broken and its continuous fermentation tech will fix it,https://techcrunch.com/wp-content/uploads/2023/10/Pow-Lab2.jpg?w=430&h=230&crop=1,Startups,Christine Hall,author1.jpg,2023-10-01,5 minutes,Pow.bio intends to bring down the costs associated with biomanufacturing by reimagining of fermentation facility operations.,Startups,Writing
6,"Recapitalization, $60M Series D support growth of e-commerce financier Clearco",https://techcrunch.com/wp-content/uploads/2022/07/GettyImages-1314165902.jpg?w=430&h=230&crop=1,Fintech,Christine Hall,author1.jpg,2023-10-01,5 minutes,Today is news marks a turnaround for a company that is had its share of ups and downs over the past year.,Blogging,Writing
7,Rabbit is building an AI model that understands how software works,https://techcrunch.com/wp-content/uploads/2023/05/GettyImages-1325174870.jpg?w=430&h=230&crop=1,AI,Kyle Wiggers,author1.jpg,2023-10-01,5 minutes,"What if you could interact with any piece of software using natural language? Imagine typing in a prompt and having AI translate the instructions into machine-comprehendable commands, executing tas...",AI,Writing
8,Okta plans to weave AI across its entire identity platform using multiple models,https://techcrunch.com/wp-content/uploads/2023/10/GettyImages-1350618660.jpg?w=430&h=230&crop=1,Security,Ron Miller,author1.jpg,2023-10-01,5 minutes,"One thing is clear this year: generative AI is having a tremendous impact on the software industry, and a week doesn’t pass without software companies announcing their plans to incorporate the seem...",Security,Writing
9,Yubico can now ship pre-registered security keys to its enterprise users,https://techcrunch.com/wp-content/uploads/2023/10/yubikey.jpg?w=430&h=230&crop=1,Enterprise,Frederic Lardinois,author1.jpg,2023-10-01,5 minutes,"Physical security keys remain one of the best ways to secure user accounts, but the fact that new users have to register them before they can use them often adds quite a bit of friction. Yubico, th...",Blogging,Writing
10,"Resy and Eater co-founder raises $24M for Blackbird, a restaurant loyalty platform",https://techcrunch.com/wp-content/uploads/2022/05/GettyImages-1238043769.jpg?w=430&h=230&crop=1,Startups,Kyle Wiggers,author1.jpg,2023-10-01,8 minutes,"Blackbird Labs, a hospitality tech company whose platform helps restaurants stay in touch with guests and incentivize them to dine out more frequently, today announced that it raised $24 million in...",Startups,Writing
11,TC Startup Battlefield master class with Flourish Ventures: Defining early-stage product-market fit,https://techcrunch.com/wp-content/uploads/2023/10/battlefield-biotics-ai.jpg?w=430&h=230&crop=1,Growth,Neesha A. Tambe,author1.jpg,2023-10-01,5 minutes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit...",Growth,Writing
12,"Yahoo spins out Vespa, its search tech, into an independent company",https://techcrunch.com/wp-content/uploads/2023/02/GettyImages-1242149379.jpg?w=430&h=230&crop=1,AI,Kyle Wiggers,author1.jpg,2023-10-01,5 minutes,"Yahoo, otherwise known as the company that pays my salary (full disclosure: Yahoo owns TC), today announced that it’s spinning off Vespa, the big data serving engine, into an independent vent...",AI,Writing
13,Okta acquires a16z-backed password manager Uno to develop a personal tier,https://techcrunch.com/wp-content/uploads/2023/03/Uno.jpg?w=430&h=230&crop=1,Apps,Ivan Mehta,author1.jpg,2023-10-01,5 minutes,"Okta, the U.S.-based identity mangement giant, announced today that it has acquired a password mangement app, Uno. The company said that Uno’s team will help speed up the public launch of the...",Apps,Writing
14,"CoPilot, a training app that matches users with remote fitness coaches, raises $6.5M",https://techcrunch.com/wp-content/uploads/2023/10/copilot-screenshots.jpg?w=430&h=230&crop=1,Apps,Aisha Malik,author1.jpg,2023-10-01,6 minutes,"CoPilot, a digital training app that matches users with one-on-one remote fitness coaches, has raised $6.5M in Series A-1 funding led by Jackson Square Ventures. The app, which has seen more than 1...",Apps,Writing
15,"Opsera, a DevOps platform geared toward enterprises, raises $12M",https://techcrunch.com/wp-content/uploads/2023/08/GettyImages-1439425791-1.jpg?w=430&h=230&crop=1,Startups,Kyle Wiggers,author1.jpg,2023-10-01,6 minutes,"Opsera, a DevOps platform geared toward enterprise clients, today announced that it raised $12 million in a funding round — a tranche smaller than Opsera’s previous — led by Taiwa...",Apps,Writing
16,EU lawmakers take aim at ‘arbitrary’ decisions by Big Tech in Media Freedom Act vote,https://techcrunch.com/wp-content/uploads/2023/05/GettyImages-1459166551.jpg?w=430&h=230&crop=1,AI,Natasha Lomas,author1.jpg,2023-10-01,6 minutes,Mainstream social media platforms could face limits on their ability to take down independent journalism that violates their terms and conditions under a proposal agreed by European Union lawmakers...,Apps,Writing
17,Make these 5 changes to avoid becoming the next cybersecurity headline,https://techcrunch.com/wp-content/uploads/2023/10/GettyImages-1455969376.jpg?w=430&h=230&crop=1,Work,Jim Broome,author1.jpg,2023-10-01,6 minutes,"Recent incidents, such as the breach at MGM Resorts, serve as stark reminders of the potential consequences of inadequate security measures.",Apps,Writing
18,Make these 5 changes to avoid becoming the next cybersecurity headline,https://techcrunch.com/wp-content/uploads/2023/10/GettyImages-1455969376.jpg?w=430&h=230&crop=1,Apps,Rebecca Bellan,author1.jpg,2023-10-01,6 minutes,"Uber is expanding its peer-to-peer package delivery service, Uber Connect. Now, customers who don’t want to schlep a package to the post office can request an Uber courier to do it for them w...",Apps,Writing
19,"Open Banking led to a FinTech boom — As Brite raises $60M, account-to-account payment grows",https://techcrunch.com/wp-content/uploads/2023/04/hero-option-2-1.jpg?w=430&h=230&crop=1,Startups,Mike Butcher,author1.jpg,2023-10-01,6 minutes,"The move towards Open Banking payments, especially in the EU, effectively kicked-off the FinTech boom. Open Baking standards meant that FinTech startups could create Wallets and effectively become ...",Apps,Writing
20,Krafton India launches gaming incubator to expand local ecosystem,https://techcrunch.com/wp-content/uploads/2023/10/krafton-india-ceo-sean-hyunil-sohn.jpeg?w=430&h=230&crop=1,Startups,Jagmeet Singh,author1.jpg,2023-10-01,6 minutes,"The move towards Open Banking payments, especially in the EU, effectively kicked-off the FinTech boom. Open Baking standards meant that FinTech startups could create Wallets and effectively become ...",Startups,Writing
21,Electric Hydrogen is the green hydrogen industry’s first unicorn,https://techcrunch.com/wp-content/uploads/2023/10/Small-cell-Testing-in-EH2-Natick-Accelerated-Lifetime-Testing-Facility-2.jpg?w=430&h=230&crop=1,Startups,Rebecca Bellan,author1.jpg,2023-10-01,6 minutes,"Investors have historically been skeptical of green hydrogen. High production costs, expensive infrastructure builds, competition with batteries and minimal government support have made the green h...",Startups,Writing
22,"In latest Cruise incident, video shows pedestrian struck by human-driven car, then run over by robotaxi",https://techcrunch.com/wp-content/uploads/2022/10/Cruise_700848.jpg?w=430&h=230&crop=1,Startups,Rebecca Bellan,author1.jpg,2023-10-01,6 minutes,The San Francisco Police Department is investigating an October 2 incident that left a woman stuck underneath a Cruise robotaxi after being hit by a human-driven vehicle. Video captured by Cruise a...,Startups,Writing
23,Spotify to include a selection of 150K audiobooks with its Premium subscription,https://techcrunch.com/wp-content/uploads/2022/10/Cruise_700848.jpg?w=430&h=230&crop=1,Apps,Sarah Perez,author1.jpg,2023-10-01,6 minutes,"Spotify today unveiled what’s next for the future of its audiobooks service. At an event hosted in its New York offices on Tuesday afternoon, the company announced a new business model where",Startups,Writing
24,How an AI deepfake ad of MrBeast ended up on TikTok,https://techcrunch.com/wp-content/uploads/2021/12/mrbeast-squid-game-remake-1.jpg?w=430&h=230&crop=1,AI,Sarah Perez,author1.jpg,2023-10-01,6 minutes,"AI deepfake today unveiled what’s next for the future of its audiobooks service. At an event hosted in its New York offices on Tuesday afternoon, the company announced a new business model where",Startups,Writing
25,You can now add PayPal and Venmo credit or debit cards to your Apple Wallet,https://techcrunch.com/wp-content/uploads/2021/12/mrbeast-squid-game-remake-1.jpg?w=430&h=230&crop=1,Apps,Sarah Perez,author1.jpg,2023-10-01,6 minutes,"PayPal announced today that users can now add their PayPal and Venmo credit or debit cards to their Apple Wallet. With this new integration, you can now make payments in-store, online or on apps using Apple Pay. The company notes that users will continue earning their cashback and rewards.",Startups,Writing
26,The Xencelabs Pen Display 24 is a terrific alternative to Wacom’s big-screen drawing tablets,https://techcrunch.com/wp-content/uploads/2023/10/Xencelabs-Pen-Display-24-6.jpg?w=430&h=230&crop=1,Gadgets,Sarah Perez,author1.jpg,2023-10-01,6 minutes,"Xencelabs announced today that users can now add their Xencelabs and Venmo credit or debit cards to their Apple Wallet. With this new integration, you can now make payments in-store, online or on apps using Apple Pay. The company notes that users will continue earning their cashback and rewards.",Startups,Writing
27,US lawmakers ask TikTok about its ByteDance ties after recent exec transfers between the companies,https://techcrunch.com/wp-content/uploads/2019/11/GettyImages-1177990253.jpg?w=430&h=230&crop=1,Apps,Sarah Perez,author1.jpg,2023-10-01,6 minutes,"Xencelabs announced today that users can now add their Xencelabs and Venmo credit or debit cards to their Apple Wallet. With this new integration, you can now make payments in-store, online or on apps using Apple Pay. The company notes that users will continue earning their cashback and rewards.",Startups,Writing
28,Sam Altman backs teens’ AI startup automating browser-native workflows,https://techcrunch.com/wp-content/uploads/2023/10/induced-ai.jpg?w=430&h=230&crop=1,AI,Sarah Perez,author1.jpg,2023-10-01,6 minutes,"Xencelabs announced today that users can now add their Xencelabs and Venmo credit or debit cards to their Apple Wallet. With this new integration, you can now make payments in-store, online or on apps using Apple Pay. The company notes that users will continue earning their cashback and rewards.",Startups,Writing
29,Arc browser’s new AI-powered features combine OpenAI and Anthropic’s models,https://techcrunch.com/wp-content/uploads/2023/10/Screenshot-2023-10-03-at-10.16.25-PM.jpg?w=430&h=230&crop=1,Apps,Sarah Perez,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
30,Promova’s new feature helps people with dyslexia learn a new language,https://techcrunch.com/wp-content/uploads/2023/10/2.png?w=430&h=230&crop=1,Apps,Sarah Perez,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
31,"Don’t sweat the valuation headlines, ByteDance is doing great",https://techcrunch.com/wp-content/uploads/2023/03/GettyImages-1248389907.jpg?w=430&h=230&crop=1,Work,Sarah Perez,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
32,PlanetScale forks MySQL to add vector support,https://techcrunch.com/wp-content/uploads/2023/10/GettyImages-1244811487.jpg?w=430&h=230&crop=1,Tech,Sarah Perez,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
33,Osmoses gets $11M seed to bring its molecule-scale membranes to the hydrogen market,https://techcrunch.com/wp-content/uploads/2023/10/osmoses-production-line.jpg?w=430&h=230&crop=1,Startups,Tim De Chant,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
34,"SBF’s trial has started, this is how he and FTX got here",https://techcrunch.com/wp-content/uploads/2023/01/GettyImages-1454050629.jpg?w=430&h=230&crop=1,Tech,Tim De Chant,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
35,Qobra raises $10.5 million for its real-time sales compensation tool,https://techcrunch.com/wp-content/uploads/2023/10/Qobra-founders.jpeg?w=430&h=230&crop=1,Tech,Tim De Chant,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
36,FBI most-wanted Russian hacker reveals why he burned his passport,https://techcrunch.com/wp-content/uploads/2023/10/mikhail-matveev-ransomware-most-wanted.png?w=430&h=230&crop=1,Security,Tim De Chant,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
37,Motel One says ransomware gang stole customer credit card data,https://techcrunch.com/wp-content/uploads/2023/10/MO-Hotel-Hamburg-am-Michel-Outdoor-3.jpg?w=430&h=230&crop=1,Tech,Carly Page,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
38,"LinkedIn goes big on new AI tools for learning, recruitment, marketing and sales, powered by OpenAI",https://techcrunch.com/wp-content/uploads/2022/11/GettyImages-1244671434-e1669291782949.jpg?w=430&h=230&crop=1,Tech,Carly Page,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
39,Dry Studio’s Black Diamond 75 is a gaming keyboard that actually looks good,https://techcrunch.com/wp-content/uploads/2023/10/15.jpg?w=430&h=230&crop=1,Gadgets,Carly Page,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
40,"DoorDash tests a feature that rewards users for dining out, not ordering in",https://techcrunch.com/wp-content/uploads/2022/08/GettyImages-1232015093.jpg?w=430&h=230&crop=1,Tech,Carly Page,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
41,Adapting to a world with higher interest rates — a guide for startups,https://techcrunch.com/wp-content/uploads/2023/10/GettyImages-109439584.jpg?w=430&h=230&crop=1,Work,Mohit Agarwal,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
42,Wattpad ditches ‘Paid Stories’ for a freemium model,https://techcrunch.com/wp-content/uploads/2023/05/wattpad-logo.jpg?w=430&h=230&crop=1,Tech,Mohit Agarwal,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
43,Science lab automation and robotics startup Automata raises $40M,https://techcrunch.com/wp-content/uploads/2023/10/05_LINQ-BENCH_LAB_QUAD_BLUE-2-1536x864-copy-e1696332783997.png?w=430&h=230&crop=1,Health,Mohit Agarwal,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
44,"Meta planning ad-free subscription or tracking ads ‘choice’ in EU, per WSJ — in latest bid to keep snooping",https://techcrunch.com/wp-content/uploads/2021/11/facebook-meta-surveillance-1.jpg?w=430&h=230&crop=1,Security,Natasha Lomas,author1.jpg,2023-10-01,6 minutes,The Arc browser is “finally” launching its AI-powered features under the “Arc Max” moniker. The Browser Company is using a combination of OpenAI’s GPT-3.5 and Anthropi...,Startups,Writing
